block_group_geoid,census_tract_geoid,town,electric_participation_rate,gas_participation_rate
250277492001,25027749200,UXBRIDGE,39.57,0.0
250277492002,25027749200,UXBRIDGE,41.99,0.0
250277491001,25027749100,UXBRIDGE,39.97,0.0
250277491003,25027749100,UXBRIDGE,47.75,0.0
250277491004,25027749100,UXBRIDGE,44.75,0.0
250277491002,25027749100,UXBRIDGE,45.05,0.0
250277492001,25027749200,UXBRIDGE,0.0,20.0
250277492002,25027749200,UXBRIDGE,0.0,33.05
250277491001,25027749100,UXBRIDGE,0.0,26.01
250277491003,25027749100,UXBRIDGE,0.0,37.72
250277491004,25027749100,UXBRIDGE,0.0,0.0
250277491002,25027749100,UXBRIDGE,0.0,18.66
250277492001,25027749200,UXBRIDGE,39.57,20.0
250277492002,25027749200,UXBRIDGE,41.99,33.05
250277491001,25027749100,UXBRIDGE,39.97,26.01
250277491003,25027749100,UXBRIDGE,47.75,37.72
250277491004,25027749100,UXBRIDGE,44.75,0.0
250277491002,25027749100,UXBRIDGE,45.05,18.66
250277492001,25027749200,UXBRIDGE,39.57,20.0
250277492002,25027749200,UXBRIDGE,41.99,33.05
250277491001,25027749100,UXBRIDGE,39.97,26.01
250277491003,25027749100,UXBRIDGE,47.75,37.72
250277491004,25027749100,UXBRIDGE,44.75,0.0
250277491002,25027749100,UXBRIDGE,45.05,18.66
250277492001,25027749200,UXBRIDGE,39.57,20.0
250277492002,25027749200,UXBRIDGE,41.99,33.05
250277491001,25027749100,UXBRIDGE,39.97,26.01
250277491003,25027749100,UXBRIDGE,47.75,37.72
250277491004,25027749100,UXBRIDGE,44.75,0.0
250277491002,25027749100,UXBRIDGE,45.05,18.66
250277371003,25027737100,MILLBURY,50.67,0.0
250277372001,25027737200,MILLBURY,47.06,0.0
250277371004,25027737100,MILLBURY,50.29,0.0
250277372002,25027737200,MILLBURY,34.51,0.0
250277373001,25027737300,MILLBURY,43.79,0.0
250277373002,25027737300,MILLBURY,43.06,0.0
250277373004,25027737300,MILLBURY,48.04,0.0
250277371001,25027737100,MILLBURY,42.27,0.0
250277371002,25027737100,MILLBURY,44.81,0.0
250277373003,25027737300,MILLBURY,50.35,0.0
250277371003,25027737100,MILLBURY,0.0,22.77
250277372001,25027737200,MILLBURY,0.0,27.97
250277371004,25027737100,MILLBURY,0.0,54.39
250277372002,25027737200,MILLBURY,0.0,17.39
