census_tract_geoid,town,electric_participation_rate_avg,gas_participation_rate_avg,block_group_count
25001010100,Provincetown,24.8704,0.0,25
25001010206,Wellfleet,19.264,0.0,15
25001010208,Truro,18.472,0.0,15
25001010304,Eastham,21.562666666666665,8.138666666666667,15
25001010306,Eastham,15.216000000000001,8.018666666666666,15
25001010400,Orleans,21.65,8.242,20
25001010500,Orleans,17.506666666666668,8.802666666666665,15
25001010600,Chatham,18.119999999999997,8.459999999999999,20
25001010700,Chatham,15.116,7.824,20
25001010800,Brewster,26.5152,12.1152,25
25001010900,Brewster,24.106,11.754000000000001,20
25001011002,Harwich,24.396,12.896,20
25001011100,Harwich,25.688,13.222,20
25001011200,Harwich,19.137999999999998,11.068000000000001,20
25001011300,Dennis,20.461333333333332,11.029333333333334,15
25001011400,Dennis,17.704,11.040000000000001,20
25001011500,Dennis,24.5952,15.105599999999999,25
25001011600,Dennis,20.698666666666668,12.018666666666666,15
25001011700,Dennis,20.757333333333335,13.656,15
25001011801,Yarmouth,28.024,14.928,10
25001011802,Yarmouth,28.286,15.830000000000002,20
25001012001,Yarmouth,28.192,16.526,20
25001012002,Yarmouth,22.70133333333333,13.826666666666664,15
25001012101,Yarmouth,27.951999999999998,15.3056,25
25001012102,Yarmouth,21.416,11.102,20
25001012200,Barnstable,26.574,13.548000000000002,20
25001012502,Barnstable,22.137999999999998,12.097999999999999,20
25001012601,Barnstable,27.948,16.552,10
25001012602,Barnstable,25.756,13.309999999999999,20
25001012700,Barnstable,24.330000000000002,15.107999999999999,20
25001012800,Barnstable,28.6,17.589333333333336,15
25001012900,Barnstable,28.21333333333333,18.586666666666666,15
25001013002,Barnstable,21.752000000000002,11.568000000000001,20
25001013100,Barnstable,27.880000000000003,16.962,20
25001013200,Barnstable,25.205333333333336,13.538666666666666,15
25001013300,Sandwich,30.264,11.975999999999999,15
25001013400,Sandwich,28.419999999999998,12.384,20
25001013500,Sandwich,26.625999999999998,16.336000000000002,20
25001013600,Sandwich,28.72266666666667,15.426666666666668,15
25001013700,Bourne,19.532,12.666,20
25001013800,Bourne,22.978666666666665,10.786666666666665,15
25001013900,Bourne,19.07,10.501999999999999,20
25001014002,Bourne,21.262,12.924000000000001,20
25001014100,Bourne,0.0,0.0,5
25001014300,Falmouth,18.9376,10.409600000000001,25
25001014402,Falmouth,24.616,11.669333333333332,15
25001014500,Falmouth,25.181333333333335,15.893333333333334,15
25001014600,Falmouth,26.942,13.492,20
25001014700,Falmouth,20.896,10.818666666666667,15
25001014800,Falmouth,25.125999999999998,10.358,20
25001014900,Falmouth,19.741999999999997,8.698,20
25001015001,Mashpee,28.375999999999998,21.371999999999996,10
25001015002,Mashpee,31.791999999999994,14.716,10
25001015100,Mashpee,24.448,16.552,10
25001015200,Mashpee,19.131999999999998,13.652000000000001,10
25001015300,Barnstable,25.765333333333334,7.848,15
25003900100,Pittsfield,26.944,4.054,20
25003900200,Pittsfield,34.21333333333334,4.817333333333333,30
25003900300,Pittsfield,31.887999999999998,10.717333333333332,15
25003900400,Pittsfield,30.536000000000005,9.9632,25
25003900500,Pittsfield,26.052,17.284,10
25003900600,Pittsfield,34.502399999999994,7.187200000000001,25
25003900700,Pittsfield,28.125999999999998,14.486,20
25003900800,Pittsfield,27.6528,18.1824,25
25003900900,Pittsfield,31.977600000000002,15.8128,25
25003901100,Pittsfield,31.419999999999998,17.304,20
25003911100,Lanesborough,18.386666666666667,2.7680000000000002,15
25003912100,Dalton,31.20228571428571,18.70057142857143,35
25003913100,Lenox,21.96,18.78514285714286,35
25003914100,Lee,23.790666666666667,14.494666666666667,30
25003920101,Williamstown,23.419999999999998,18.296,20
25003920102,Williamstown,21.506666666666668,8.861333333333334,15
25003921300,North adams,27.448,14.622,20
25003921400,North adams,35.715999999999994,16.228,10
25003921500,North adams,28.048000000000002,22.208,10
25003922100,Adams,27.762,16.392000000000003,20
25003922200,Adams,29.068,16.625999999999998,20
25003922300,Adams,28.312,9.508,10
25003923100,Cheshire,26.448,10.877333333333333,15
25003924100,Stockbridge,20.951999999999998,6.522666666666667,15
25003925100,Great barrington,26.547428571428572,15.395428571428573,35
25003926100,Sheffield,22.808,0.0,20
25003931100,Clarksburg,29.76,17.272,10
25003931300,"Savoy, florida",25.296,0.0,10
25003931400,"Peru, windsor",18.048000000000002,0.0,10
25003932200,"Washington, becket",19.125333333333334,0.0,15
25003932300,Hinsdale,29.2,0.0,10
25003933200,"Monterey, tyringham",16.112000000000002,0.0,10
25003933300,New marlborough,22.668,0.0,10
25003933400,"Sandisfield, otis",14.552,0.0,15
25003934200,West stockbridge,21.324,0.0,10
25003934300,"Alford, egremont, mount washington",20.136000000000003,0.0,10
25003935100,"Richmond, new ashford, hancock",19.986,0.0,20
25003935200,Pittsfield,30.3104,20.5488,25
25003935300,North adams,24.892,11.786,20
25005600100,Easton,34.268,10.296000000000001,10
25005600202,Easton,34.36266666666667,6.858666666666666,15
25005600203,Easton,35.13866666666666,12.856,15
